Repository,Last Commit Date,Days Since Last Commit,Stars
stravu/crystal,2026-02-26 21:44:09,78,3057
DeepMyst/Mysti,2026-03-11 19:31:18,65,1048
Pythagora-io/gpt-pilot,2025-11-10 13:12:31,186,33774
AntonOsika/gpt-engineer,2024-11-17 22:42:12,544,55215
smol-ai/developer,2023-09-25 17:58:00,963,12187
arctic-cli/interface,2026-03-15 18:29:47,61,116
modern-tooling/aloc,2026-02-12 20:59:44,92,17
BrodaNoel/cmd-ai,2026-03-04 00:49:26,73,47
yjcho9317/aiignore-cli,2026-04-03 02:31:39,43,8
lasantosr/intelli-shell,2026-03-26 08:19:36,50,1230
inevolin/resume-cli,2026-04-10 23:39:38,35,9
stackblitz-labs/bolt.diy,2026-02-07 14:36:22,97,19361
melih-unsal/DemoGPT,2026-04-01 12:30:09,44,1897
indoor47/claude-pr-reviewer,2026-02-25 23:55:05,79,2
codeintegrity-ai/mutahunter,2025-04-17 15:46:00,393,296
AnswerLayer/sniffbench,2026-03-17 21:39:33,59,27
nedcodes-ok/cursor-doctor,2026-03-08 17:54:10,68,7
nicepkg/vsync,2026-01-27 03:27:41,109,47
nedcodes-ok/rule-porter,2026-03-04 18:25:17,72,7
1broseidon/promptext,2026-04-12 20:05:01,33,22
sagarmk/beacon-plugin,2026-03-06 04:13:12,70,36
nedcodes-ok/rule-gen,2026-03-06 02:08:55,71,6
dwgoldie/gestalt,2026-03-28 01:48:45,49,2
pmusolino/AI-Git-Narrator,2026-01-18 17:47:53,117,118
eli64s/readme-ai,2025-07-26 01:55:46,294,2902
dohko04/awesome-ai-prompts-for-devs,2026-03-25 18:05:51,51,5
